id,name,wikidata_uri
532,Roumaine?,
533,Macedonien,
534,"Grecque et américaine",
535,"Française et allemande",
536,"Anglaise et suisse",
537,"Grecque et anglaise",
538,"Péruvienne et américaine",
539,Autrichien,
540,Bulgare?,
541,"Israëlienne?",
542,Portugaise?,
543,"Suisse? (Autre?)",
544,"Israëlienne",
545,"(puis?) Canadienne",
546,mexicaine,
547,"puis suisse (1866)",
548,"Suisse et Autrichienne",
549,"puis suisse (1950",
550,"Polonaise et Suisse?",
551,"Allemande et suisse?",
552,Libanais,
553,"Belge + Français + Suisse (1996)",
554,"Allemand et Suisse (1922)",
555,Italienne/Suisse,
556,"puis Italienne (1880)",
557,"puis Suisse (1941)",
558,"Suisse (et Algérienne jusqu'en 2000)",
